MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8196,758,25253,39160,25267,38885,[],1764734199.1266596
8197,758,25258,39161,25272,38870,[],1764734199.2271748
8197,758,25258,39145,25277,38905,[],1764734199.327755
8197,758,25258,39145,25272,38879,[],1764734199.4282918
8196,758,25268,39157,25272,38870,[],1764734199.528853
8196,758,25258,39176,25272,38903,[],1764734199.6293902
8197,758,25258,39154,25277,38872,[],1764734199.7300045
8196,758,25258,39169,25272,38896,[],1764734199.830681
8196,758,25268,39140,25267,38852,[],1764734199.9312122
8196,758,25258,39169,25272,38896,[],1764734200.031801
8196,758,25263,39146,25288,38860,[],1764734200.132221
8194,758,25263,39131,25277,38864,[],1764734200.232477
8197,758,25268,39148,25283,38882,[],1764734200.3326852
8196,758,25263,39155,25277,38912,[],1764734200.43288
8196,758,25274,39218,25277,38888,[],1764734200.5331097
8196,758,25263,39077,25277,38912,[],1764734200.6353993
8198,758,25274,39151,25272,38896,[],1764734200.7356446
8194,758,25268,39148,25272,38887,[],1764734200.8359356
8197,758,25263,39163,25277,38872,[],1764734200.9363046
8197,758,25274,39134,25283,38906,[],1764734201.0366323
8196,758,25263,39146,25272,38863,[],1764734201.1369436
8197,758,25279,39113,25277,38864,[],1764734201.2371955
8196,759,25263,39155,25277,38905,[],1764734201.337406
8197,759,25268,39118,25272,38863,[],1764734201.437644
8196,758,25258,39137,25277,38881,[],1764734201.5378888
8196,759,25268,39157,25283,38890,[],1764734201.6381302
8196,759,25274,39112,25283,38899,[],1764734201.7383723
8198,758,25274,39151,25277,38864,[],1764734201.838812
8197,758,25268,39164,25277,38930,[],1764734201.9392219
8198,758,25274,39134,25277,38864,[],1764734202.0395687
8197,758,25274,39127,25277,38912,[],1764734202.1398313
8197,758,25279,39160,25277,38905,[],1764734202.240205
8196,758,25268,39148,25267,38861,[],1764734202.340655
8196,758,25258,39098,25277,38881,[],1764734202.441092
8197,758,25268,39125,25272,38870,[],1764734202.541463
8198,758,25274,39127,25283,38890,[],1764734202.641888
8198,759,25274,39143,25283,38857,[],1764734202.742327
8196,759,25268,39118,25277,38881,[],1764734202.8427703
8198,758,25268,39133,25283,38882,[],1764734202.943187
8196,759,25268,39101,25283,38875,[],1764734203.0435603
8196,759,25274,39119,25283,38899,[],1764734203.143913
8197,759,25268,39133,25277,38888,[],1764734203.2442698
8197,759,25268,39133,25277,38905,[],1764734203.344726
8198,759,25268,39125,25283,38875,[],1764734203.445151
8198,758,25268,39125,25283,38899,[],1764734203.5454664
8198,759,25268,39157,25277,38888,[],1764734203.6458123
8198,759,25268,39101,25272,38887,[],1764734203.7462735
8198,758,25274,39119,25283,38875,[],1764734203.8466825
8198,758,25268,39148,25277,38881,[],1764734203.9470124
8197,759,25274,39119,25283,38867,[],1764734204.0473447
8198,759,25268,39125,25277,38864,[],1764734204.1478882
8198,759,25279,39113,25277,38897,[],1764734204.2481954
8196,759,25263,39131,25283,38899,[],1764734204.3487322
