MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8192,738,None,None,None,None,None,None,1764880512.494826
None,None,24820,35536,24845,35578,None,None,1764880512.4949307
8192,738,None,None,None,None,None,None,1764880512.595123
None,None,24820,35551,24850,35564,None,None,1764880512.5951908
8193,738,None,None,None,None,None,None,1764880512.6953905
None,None,24815,35525,24845,35563,None,None,1764880512.6956081
8192,738,None,None,None,None,None,None,1764880512.795896
None,None,24815,35542,24839,35576,None,None,1764880512.7961047
8192,738,None,None,None,None,None,None,1764880512.8963256
None,None,24820,35536,24850,35588,None,None,1764880512.896537
8190,738,None,None,None,None,None,None,1764880512.996762
None,None,24830,35522,24839,35576,None,None,1764880512.9969656
8192,738,None,None,None,None,None,None,1764880513.0972188
None,None,24830,35522,24850,35579,None,None,1764880513.0973256
8196,738,None,None,None,None,None,None,1764880513.1975577
None,None,24820,35519,24845,35578,None,None,1764880513.1977763
8193,739,None,None,None,None,None,None,1764880513.2979703
None,None,24825,35521,24850,35579,None,None,1764880513.2980347
8193,739,None,None,None,None,None,None,1764880513.3982527
None,None,24830,35500,24850,35572,None,None,1764880513.3984597
8196,739,None,None,None,None,None,None,1764880513.4986804
None,None,24830,35522,24845,35563,None,None,1764880513.4988947
8192,739,None,None,None,None,None,None,1764880513.5991263
None,None,24830,35537,24855,35549,None,None,1764880513.5993395
8192,739,None,None,None,None,None,None,1764880513.6995559
None,None,24830,35507,24855,35573,None,None,1764880513.6997612
8193,739,None,None,None,None,None,None,1764880513.7999487
None,None,24830,35554,24845,35570,None,None,1764880513.800011
8196,739,None,None,None,None,None,None,1764880513.900214
None,None,24825,35513,24855,35605,None,None,1764880513.9004257
8196,739,None,None,None,None,None,None,1764880514.0006406
None,None,24836,35531,24845,35563,None,None,1764880514.0008585
8193,739,None,None,None,None,None,None,1764880514.1011574
None,None,24830,35554,24850,35579,None,None,1764880514.1013634
8192,738,None,None,None,None,None,None,1764880514.2015805
None,None,24830,35561,24860,35567,None,None,1764880514.2017944
8193,738,None,None,None,None,None,None,1764880514.301992
None,None,24841,35518,24855,35581,None,None,1764880514.3020577
8193,739,None,None,None,None,None,None,1764880514.4022603
None,None,24841,35557,24845,35611,None,None,1764880514.4024687
